PSC,x_attribute,y_attribute
D233,3.01,4.84
F352,4.34,5.64
T713,3.37,4.3
K833,2.67,5.53
Q121,3.48,4.33
C791,3.32,7.32
Y207,3.48,5.42
W439,2.47,3.35
N290,1.66,4.02
C251,1,7.47
U115,1.4,6.58
Y679,2.99,1
P256,4.93,3.04
B272,1.62,2.46
Y895,1,4.91
D663,3.42,5.49
D400,2.66,4.72
S883,1.31,5.73
G274,3.24,8.98
S229,1.45,7.57
V324,2.7,3.3
C529,1.61,2.65
H379,3.99,4.76
S528,2.4,5.75
Q844,1.77,5.76
X925,3.92,4.6
A202,2.88,2.44
W483,2.75,7.98
Q507,3.37,8.82
X898,2.53,5.11
T845,2.94,3.44
F318,4.68,4.23
Y357,5,6.55
Y536,4.01,1.75
R954,1.18,4.8
Y416,1,6.32
E103,4.46,7.71
I425,3.54,3.5
C305,1,5.49
W936,1.43,6.52
H489,1,5.06
N923,2.57,2.48
G904,2.41,4.45
I329,1.9,5.6
T636,3.39,6.58
G220,3.43,2.79
W441,2.84,6.58
C432,4.65,6.05
N429,3.95,7.6
N527,3.01,3.51
X253,1.69,4.75
N376,2.11,4.83
L595,3.73,4.12
K472,3.84,7.88
H824,1.33,4.45
X945,4.18,6.83
D604,3.25,1.34
E997,5,1.53
K815,2.85,4.04
E817,4.31,6.55
D655,2.95,6.64
R315,2.52,6.24
P402,5,5.82
F754,2.49,5.67
Y853,1.64,4.97
K960,3.96,4.04
T856,2.57,5.21
Z840,4.74,4.87
H423,2.46,5.52
Q618,3.13,4.02
S855,4.32,4.89
U622,1.41,5.46
Q410,4.66,5.54
G641,3.05,1.4
Q255,4.95,6.41
B187,1.71,2.46
B238,2.03,5.53
K980,3.18,6.9
V809,2.05,6.47
O854,1.89,5.93
B455,2.42,4.66
J637,4.66,3.15
C309,4.12,2.66
H426,5,5.58
F973,3.46,3.91
P184,3.56,5.09
N763,3.3,6.18
G691,2.01,2.63
T373,4.22,6.93
V761,3.86,1.2
V437,4.24,4.67
Y396,2.15,6.77
S405,3.28,5.19
I418,4.21,6.15
R631,2.35,2.38
I364,2.36,6.78
D442,2.83,5.91
D353,2.6,5.74
J313,2.6,4.51
Q795,1.16,4.56
O131,2.37,6.65
O920,4.48,4.32
Y670,3.98,3.76
V906,1,6.34
O977,3.88,6.74
J164,1.22,5.23
M578,2.31,1
V879,3.82,5.03
M450,2.57,4.39
E908,4.75,7.11
B666,3.51,6.11
D994,4.58,4.52
N741,3.82,3.93
A261,3.83,6.76
H986,2.67,4.34
W685,3.95,6.46
Z776,4.53,5.05
Z821,3.7,7.75
A859,3.75,1.54
S961,3.47,1.1
E928,3.18,7.36
F520,4.21,4.61
X634,5,5.19
B875,4,4.92
C284,4.91,2.07
X262,2.7,6.54
V177,2.28,5.81
C877,1,8.37
D623,1,6.5
M607,2.95,4.22
P171,3.4,3
E580,4.06,6.68
I440,1.22,4.99
D581,1.61,4.88
E370,3.48,5.27
M667,3.53,3.71
G230,2.41,1.36
G626,3.42,3.37
G783,2.6,6.8
N915,3.87,4.7
X119,2.62,5.27
Q697,5,4.19
M496,3.76,7.5
S868,1.64,2.86
F334,2.68,1.18
R777,1.78,6.96
P941,1.56,4.4
N436,2.67,3.98
W932,3.8,3.58
E537,2.98,3
T317,2.46,3.06
K942,4.81,1.5
D715,4.03,4.17
M176,3.22,4.42
F452,5,4.36
V162,2.74,6.96
D983,1.86,5.51
H278,4.43,3.86
V649,3.31,7.4
M775,2.28,5.63
T269,4.01,4.08
T173,3.99,5.04
O522,2.21,7.29
W299,2.25,9.54
G852,2.72,2.72
P291,3.31,5.77
X597,4.54,6.23
U310,3.67,5.5
Q541,4.19,4.32
M375,2.23,3
A365,3.49,3.3
L979,3.8,6.41
X283,5,4.52
T962,2.28,4.74
E808,3.97,6.46
A363,3.42,2.99
I617,2.1,6.77
B829,1.88,6.16
G698,2.02,6.28
B188,3.89,3.63
U646,1,10
O288,5,5
T127,2.6,8.18
C901,3.8,4.76
I116,4.32,7.3
V870,5,5.88
S346,3.01,8.21
J758,4.17,7.48
S965,2.46,6.02
E619,5,3.65
I682,2.38,7.21
M354,2.37,2.66
H562,2.13,5.15
K482,2.41,6.38
L568,1.74,5.95
Z491,1,5.74
A668,3.78,4.3
T203,1,2.96
J332,3.07,5.89
G362,2.29,2.63
